ID_Product,Product_Name,Prod_Line,Prd_Grp_1,Prd_Grp_2,Prd_Grp_3,Unit_Price,Margin_Category
P0001,Controllers Type 1 0001,Safety,Automation Modules,Controllers,Controllers Type 1,583.74,Low
P0002,Extended Support Type 2 0002,Specialty Materials,Service Contracts,Extended Support,Extended Support Type 2,581.89,Medium
P0003,Repair Kits Type 1 0003,Consumables,Maintenance Kits,Repair Kits,Repair Kits Type 1,122.81,High
P0004,Calibration Kits Type 1 0004,Consumables,Maintenance Kits,Calibration Kits,Calibration Kits Type 1,136.53,Low
P0005,Sensors Type 2 0005,Consumables,Automation Modules,Sensors,Sensors Type 2,330.94,High
P0006,Extended Support Type 2 0006,Specialty Materials,Service Contracts,Extended Support,Extended Support Type 2,574.63,High
P0007,Core Advanced Type 1 0007,Specialty Materials,Core Products,Core Advanced,Core Advanced Type 1,158.71,High
P0008,Premium Custom Type 2 0008,Maintenance,Premium Products,Premium Custom,Premium Custom Type 2,310.15,Low
P0009,Core Replacement Type 1 0009,Maintenance,Core Products,Core Replacement,Core Replacement Type 1,94.18,Medium
P0010,Sensors Type 2 0010,Automation,Automation Modules,Sensors,Sensors Type 2,507.94,High
P0011,Monitoring Type 1 0011,Services,Automation Modules,Monitoring,Monitoring Type 1,569.78,Low
P0012,Core Basic Type 2 0012,Industrial Equipment,Core Products,Core Basic,Core Basic Type 2,82.99,Medium
P0013,Personal Safety Type 2 0013,Safety,Safety Solutions,Personal Safety,Personal Safety Type 2,71.97,Low
P0014,Core Advanced Type 1 0014,Automation,Core Products,Core Advanced,Core Advanced Type 1,105.25,Medium
P0015,Controllers Type 2 0015,Safety,Automation Modules,Controllers,Controllers Type 2,538.71,Medium
P0016,Core Advanced Type 1 0016,Safety,Core Products,Core Advanced,Core Advanced Type 1,101.27,Medium
P0017,Sensors Type 1 0017,Specialty Materials,Automation Modules,Sensors,Sensors Type 1,499.83,Medium
P0018,Personal Safety Type 1 0018,Safety,Safety Solutions,Personal Safety,Personal Safety Type 1,95.14,Unknown
P0019,Repair Kits Type 2 0019,Maintenance,Maintenance Kits,Repair Kits,Repair Kits Type 2,105.68,Low
P0020,Sensors Type 2 0020,Safety,Automation Modules,Sensors,Sensors Type 2,356.37,Medium
P0021,Core Advanced Type 2 0021,Safety,Core Products,Core Advanced,Core Advanced Type 2,72.46,Medium
P0022,Facility Safety Type 2 0022,Maintenance,Safety Solutions,Facility Safety,Facility Safety Type 2,54.23,Low
P0023,Training Type 2 0023,Safety,Service Contracts,Training,Training Type 2,569.42,High
P0024,Monitoring Type 1 0024,Specialty Materials,Automation Modules,Monitoring,Monitoring Type 1,302.93,Medium
P0025,Core Advanced Type 2 0025,Industrial Equipment,Core Products,Core Advanced,Core Advanced Type 2,40.97,Medium
P0026,Facility Safety Type 2 0026,Consumables,Safety Solutions,Facility Safety,Facility Safety Type 2,54.25,High
P0027,Controllers Type 1 0027,Maintenance,Automation Modules,Controllers,Controllers Type 1,735.74,Medium
P0028,Core Advanced Type 2 0028,Maintenance,Core Products,Core Advanced,Core Advanced Type 2,81.0,Medium
P0029,Premium Plus Type 1 0029,Automation,Premium Products,Premium Plus,Premium Plus Type 1,164.91,Low
P0030,Installation Type 2 0030,Automation,Service Contracts,Installation,Installation Type 2,401.47,High
P0031,Core Basic Type 2 0031,Maintenance,Core Products,Core Basic,Core Basic Type 2,83.7,Low
P0032,Repair Kits Type 2 0032,Safety,Maintenance Kits,Repair Kits,Repair Kits Type 2,138.73,Medium
P0033,Calibration Kits Type 1 0033,Services,Maintenance Kits,Calibration Kits,Calibration Kits Type 1,103.76,Medium
P0034,Core Basic Type 1 0034,Specialty Materials,Core Products,Core Basic,Core Basic Type 1,79.24,Low
P0035,Preventive Kits Type 1 0035,Automation,Maintenance Kits,Preventive Kits,Preventive Kits Type 1,117.76,Medium
P0036,Monitoring Type 1 0036,Industrial Equipment,Automation Modules,Monitoring,Monitoring Type 1,352.66,Low
P0037,Core Basic Type 2 0037,Safety,Core Products,Core Basic,Core Basic Type 2,56.26,High
P0038,Premium Plus Type 1 0038,Services,Premium Products,Premium Plus,Premium Plus Type 1,286.06,Medium
P0039,Premium Custom Type 2 0039,Consumables,Premium Products,Premium Custom,Premium Custom Type 2,213.2,Medium
P0040,Installation Type 1 0040,Services,Service Contracts,Installation,Installation Type 1,1129.64,High
P0041,Installation Type 2 0041,Safety,Service Contracts,Installation,Installation Type 2,701.88,High
P0042,Premium Standard Type 2 0042,Industrial Equipment,Premium Products,Premium Standard,Premium Standard Type 2,427.94,Medium
P0043,Extended Support Type 1 0043,Industrial Equipment,Service Contracts,Extended Support,Extended Support Type 1,1188.27,Medium
P0044,Core Basic Type 1 0044,Automation,Core Products,Core Basic,Core Basic Type 1,50.91,Medium
P0045,Sensors Type 2 0045,Safety,Automation Modules,Sensors,Sensors Type 2,396.65,Low
P0046,Core Advanced Type 1 0046,Industrial Equipment,Core Products,Core Advanced,Core Advanced Type 1,93.96,Low
P0047,Calibration Kits Type 2 0047,Specialty Materials,Maintenance Kits,Calibration Kits,Calibration Kits Type 2,88.25,High
P0048,Controllers Type 1 0048,Specialty Materials,Automation Modules,Controllers,Controllers Type 1,424.53,Low
P0049,Installation Type 1 0049,Services,Service Contracts,Installation,Installation Type 1,923.28,High
P0050,Installation Type 2 0050,Maintenance,Service Contracts,Installation,Installation Type 2,509.48,Low
P0051,Preventive Kits Type 2 0051,Specialty Materials,Maintenance Kits,Preventive Kits,Preventive Kits Type 2,123.86,Medium
P0052,Installation Type 1 0052,Automation,Service Contracts,Installation,Installation Type 1,482.19,High
P0053,Repair Kits Type 2 0053,Specialty Materials,Maintenance Kits,Repair Kits,Repair Kits Type 2,183.01,High
P0054,Sensors Type 1 0054,Consumables,Automation Modules,Sensors,Sensors Type 1,396.76,Medium
P0055,Monitoring Type 2 0055,Maintenance,Automation Modules,Monitoring,Monitoring Type 2,309.0,Medium
P0056,Controllers Type 1 0056,Safety,Automation Modules,Controllers,Controllers Type 1,884.91,Low
P0057,Monitoring Type 2 0057,Services,Automation Modules,Monitoring,Monitoring Type 2,278.72,Medium
P0058,Core Basic Type 1 0058,Specialty Materials,Core Products,Core Basic,Core Basic Type 1,53.1,Unknown
P0059,Training Type 1 0059,Consumables,Service Contracts,Training,Training Type 1,620.26,Medium
P0060,Core Basic Type 2 0060,Industrial Equipment,Core Products,Core Basic,Core Basic Type 2,81.35,Low
P0061,Facility Safety Type 2 0061,Specialty Materials,Safety Solutions,Facility Safety,Facility Safety Type 2,101.79,Medium
P0062,Controllers Type 2 0062,Specialty Materials,Automation Modules,Controllers,Controllers Type 2,469.2,Low
P0063,Core Basic Type 1 0063,Automation,Core Products,Core Basic,Core Basic Type 1,85.84,Low
P0064,Premium Plus Type 2 0064,Safety,Premium Products,Premium Plus,Premium Plus Type 2,169.38,High
P0065,Core Advanced Type 2 0065,Automation,Core Products,Core Advanced,Core Advanced Type 2,103.76,High
P0066,Installation Type 1 0066,Specialty Materials,Service Contracts,Installation,Installation Type 1,712.85,High
P0067,Monitoring Type 1 0067,Specialty Materials,Automation Modules,Monitoring,Monitoring Type 1,443.04,High
P0068,Repair Kits Type 2 0068,Maintenance,Maintenance Kits,Repair Kits,Repair Kits Type 2,127.65,Medium
P0069,Core Advanced Type 1 0069,Consumables,Core Products,Core Advanced,Core Advanced Type 1,137.29,Medium
P0070,Premium Plus Type 2 0070,Maintenance,Premium Products,Premium Plus,Premium Plus Type 2,244.69,Medium
P0071,Premium Custom Type 2 0071,Automation,Premium Products,Premium Custom,Premium Custom Type 2,458.41,Medium
P0072,Calibration Kits Type 2 0072,Specialty Materials,Maintenance Kits,Calibration Kits,Calibration Kits Type 2,139.93,High
P0073,Calibration Kits Type 2 0073,Industrial Equipment,Maintenance Kits,Calibration Kits,Calibration Kits Type 2,169.67,Low
P0074,Personal Safety Type 2 0074,Services,Safety Solutions,Personal Safety,Personal Safety Type 2,92.25,Medium
P0075,Core Advanced Type 2 0075,Automation,Core Products,Core Advanced,Core Advanced Type 2,43.26,Low
P0076,Installation Type 1 0076,Specialty Materials,Service Contracts,Installation,Installation Type 1,1103.12,High
P0077,Monitoring Type 2 0077,Industrial Equipment,Automation Modules,Monitoring,Monitoring Type 2,274.36,Low
P0078,Personal Safety Type 1 0078,Consumables,Safety Solutions,Personal Safety,Personal Safety Type 1,134.85,Medium
P0079,Calibration Kits Type 2 0079,Specialty Materials,Maintenance Kits,Calibration Kits,Calibration Kits Type 2,138.71,Medium
P0080,Compliance Safety Type 1 0080,Services,Safety Solutions,Compliance Safety,Compliance Safety Type 1,110.68,Low
P0081,Core Advanced Type 2 0081,Specialty Materials,Core Products,Core Advanced,Core Advanced Type 2,61.42,Medium
P0082,Premium Plus Type 2 0082,Services,Premium Products,Premium Plus,Premium Plus Type 2,271.37,Medium
P0083,Premium Plus Type 1 0083,Maintenance,Premium Products,Premium Plus,Premium Plus Type 1,285.9,High
P0084,Preventive Kits Type 2 0084,Maintenance,Maintenance Kits,Preventive Kits,Preventive Kits Type 2,201.54,Medium
P0085,Training Type 2 0085,Automation,Service Contracts,Training,Training Type 2,652.6,High
P0086,Controllers Type 2 0086,Services,Automation Modules,Controllers,Controllers Type 2,509.89,High
P0087,Personal Safety Type 1 0087,Safety,Safety Solutions,Personal Safety,Personal Safety Type 1,76.68,Low
P0088,Repair Kits Type 2 0088,Specialty Materials,Maintenance Kits,Repair Kits,Repair Kits Type 2,77.43,Medium
P0089,Preventive Kits Type 1 0089,Safety,Maintenance Kits,Preventive Kits,Preventive Kits Type 1,132.18,Low
P0090,Extended Support Type 1 0090,Services,Service Contracts,Extended Support,Extended Support Type 1,551.06,High
P0091,Core Advanced Type 2 0091,Industrial Equipment,Core Products,Core Advanced,Core Advanced Type 2,78.72,Low
P0092,Training Type 2 0092,Industrial Equipment,Service Contracts,Training,Training Type 2,507.93,Medium
P0093,Monitoring Type 1 0093,Industrial Equipment,Automation Modules,Monitoring,Monitoring Type 1,504.04,Low
P0094,Core Replacement Type 1 0094,Industrial Equipment,Core Products,Core Replacement,Core Replacement Type 1,37.33,High
P0095,Core Basic Type 2 0095,Consumables,Core Products,Core Basic,Core Basic Type 2,97.49,High
P0096,Sensors Type 2 0096,Automation,Automation Modules,Sensors,Sensors Type 2,668.44,Low
P0097,Core Basic Type 1 0097,Automation,Core Products,Core Basic,Core Basic Type 1,120.45,Medium
P0098,Controllers Type 1 0098,Consumables,Automation Modules,Controllers,Controllers Type 1,250.15,Low
P0099,Premium Standard Type 2 0099,Safety,Premium Products,Premium Standard,Premium Standard Type 2,154.11,Low
P0100,Compliance Safety Type 1 0100,Industrial Equipment,Safety Solutions,Compliance Safety,Compliance Safety Type 1,85.96,Medium
P0101,Core Advanced Type 1 0101,Specialty Materials,Core Products,Core Advanced,Core Advanced Type 1,51.58,Medium
P0102,Sensors Type 1 0102,Automation,Automation Modules,Sensors,Sensors Type 1,471.2,Low
P0103,Training Type 1 0103,Maintenance,Service Contracts,Training,Training Type 1,944.35,High
P0104,Training Type 1 0104,Consumables,Service Contracts,Training,Training Type 1,620.84,Medium
P0105,Preventive Kits Type 1 0105,Services,Maintenance Kits,Preventive Kits,Preventive Kits Type 1,126.92,Medium
P0106,Preventive Kits Type 2 0106,Automation,Maintenance Kits,Preventive Kits,Preventive Kits Type 2,118.92,Medium
P0107,Calibration Kits Type 1 0107,Services,Maintenance Kits,Calibration Kits,Calibration Kits Type 1,81.16,Low
P0108,Repair Kits Type 1 0108,Safety,Maintenance Kits,Repair Kits,Repair Kits Type 1,176.72,Medium
P0109,Repair Kits Type 2 0109,Safety,Maintenance Kits,Repair Kits,Repair Kits Type 2,128.04,Medium
P0110,Controllers Type 1 0110,Safety,Automation Modules,Controllers,Controllers Type 1,281.62,Medium
P0111,Premium Custom Type 2 0111,Specialty Materials,Premium Products,Premium Custom,Premium Custom Type 2,258.14,High
P0112,Calibration Kits Type 2 0112,Safety,Maintenance Kits,Calibration Kits,Calibration Kits Type 2,91.35,Medium
P0113,Controllers Type 1 0113,Industrial Equipment,Automation Modules,Controllers,Controllers Type 1,530.18,High
P0114,Core Basic Type 1 0114,Consumables,Core Products,Core Basic,Core Basic Type 1,87.92,Low
P0115,Premium Standard Type 2 0115,Services,Premium Products,Premium Standard,Premium Standard Type 2,124.55,High
P0116,Premium Standard Type 2 0116,Consumables,Premium Products,Premium Standard,Premium Standard Type 2,194.35,Low
P0117,Premium Plus Type 2 0117,Industrial Equipment,Premium Products,Premium Plus,Premium Plus Type 2,291.1,Medium
P0118,Compliance Safety Type 1 0118,Automation,Safety Solutions,Compliance Safety,Compliance Safety Type 1,81.11,Medium
P0119,Core Replacement Type 1 0119,Specialty Materials,Core Products,Core Replacement,Core Replacement Type 1,94.77,Low
P0120,Controllers Type 2 0120,Services,Automation Modules,Controllers,Controllers Type 2,299.08,High
P0121,Training Type 1 0121,Safety,Service Contracts,Training,Training Type 1,556.73,Low
P0122,Controllers Type 1 0122,Safety,Automation Modules,Controllers,Controllers Type 1,726.26,Low
P0123,Core Basic Type 2 0123,Services,Core Products,Core Basic,Core Basic Type 2,43.36,Medium
P0124,Preventive Kits Type 2 0124,Automation,Maintenance Kits,Preventive Kits,Preventive Kits Type 2,51.91,Low
P0125,Premium Custom Type 2 0125,Specialty Materials,Premium Products,Premium Custom,Premium Custom Type 2,234.8,Medium
P0126,Controllers Type 2 0126,Industrial Equipment,Automation Modules,Controllers,Controllers Type 2,295.09,Medium
P0127,Premium Custom Type 2 0127,Maintenance,Premium Products,Premium Custom,Premium Custom Type 2,277.33,High
P0128,Repair Kits Type 1 0128,Services,Maintenance Kits,Repair Kits,Repair Kits Type 1,92.18,High
P0129,Premium Plus Type 1 0129,Specialty Materials,Premium Products,Premium Plus,Premium Plus Type 1,183.16,Medium
P0130,Training Type 2 0130,Automation,Service Contracts,Training,Training Type 2,497.22,Medium
P0131,Core Basic Type 1 0131,Automation,Core Products,Core Basic,Core Basic Type 1,90.87,Medium
P0132,Compliance Safety Type 2 0132,Industrial Equipment,Safety Solutions,Compliance Safety,Compliance Safety Type 2,98.64,Medium
P0133,Compliance Safety Type 2 0133,Specialty Materials,Safety Solutions,Compliance Safety,Compliance Safety Type 2,139.29,High
P0134,Training Type 2 0134,Specialty Materials,Service Contracts,Training,Training Type 2,433.66,High
P0135,Sensors Type 1 0135,Safety,Automation Modules,Sensors,Sensors Type 1,278.23,Medium
P0136,Compliance Safety Type 1 0136,Services,Safety Solutions,Compliance Safety,Compliance Safety Type 1,58.67,Medium
P0137,Monitoring Type 2 0137,Automation,Automation Modules,Monitoring,Monitoring Type 2,235.6,Low
P0138,Controllers Type 2 0138,Safety,Automation Modules,Controllers,Controllers Type 2,558.17,Medium
P0139,Installation Type 1 0139,Industrial Equipment,Service Contracts,Installation,Installation Type 1,1015.39,High
P0140,Monitoring Type 1 0140,Services,Automation Modules,Monitoring,Monitoring Type 1,548.55,Low
P0141,Premium Custom Type 1 0141,Maintenance,Premium Products,Premium Custom,Premium Custom Type 1,271.46,Medium
P0142,Sensors Type 1 0142,Services,Automation Modules,Sensors,Sensors Type 1,268.09,High
P0143,Core Replacement Type 1 0143,Industrial Equipment,Core Products,Core Replacement,Core Replacement Type 1,64.28,Low
P0144,Repair Kits Type 1 0144,Automation,Maintenance Kits,Repair Kits,Repair Kits Type 1,141.51,Medium
P0145,Training Type 2 0145,Consumables,Service Contracts,Training,Training Type 2,279.36,Medium
P0146,Sensors Type 2 0146,Maintenance,Automation Modules,Sensors,Sensors Type 2,213.23,Medium
P0147,Premium Plus Type 2 0147,Services,Premium Products,Premium Plus,Premium Plus Type 2,306.22,Medium
P0148,Sensors Type 1 0148,Specialty Materials,Automation Modules,Sensors,Sensors Type 1,861.52,Medium
P0149,Repair Kits Type 1 0149,Industrial Equipment,Maintenance Kits,Repair Kits,Repair Kits Type 1,65.48,Medium
P0150,Training Type 1 0150,Safety,Service Contracts,Training,Training Type 1,611.56,Medium
P0151,Core Advanced Type 1 0151,Safety,Core Products,Core Advanced,Core Advanced Type 1,55.33,Medium
P0152,Premium Standard Type 1 0152,Maintenance,Premium Products,Premium Standard,Premium Standard Type 1,138.28,High
P0153,Calibration Kits Type 1 0153,Maintenance,Maintenance Kits,Calibration Kits,Calibration Kits Type 1,66.06,Medium
P0154,Extended Support Type 1 0154,Safety,Service Contracts,Extended Support,Extended Support Type 1,264.89,High
P0155,Personal Safety Type 1 0155,Specialty Materials,Safety Solutions,Personal Safety,Personal Safety Type 1,120.58,Low
P0156,Sensors Type 1 0156,Consumables,Automation Modules,Sensors,Sensors Type 1,486.54,High
P0157,Controllers Type 1 0157,Services,Automation Modules,Controllers,Controllers Type 1,650.9,Medium
P0158,Controllers Type 2 0158,Services,Automation Modules,Controllers,Controllers Type 2,360.63,Low
P0159,Preventive Kits Type 1 0159,Maintenance,Maintenance Kits,Preventive Kits,Preventive Kits Type 1,103.42,Medium
P0160,Repair Kits Type 1 0160,Industrial Equipment,Maintenance Kits,Repair Kits,Repair Kits Type 1,54.56,Low
P0161,Core Basic Type 1 0161,Automation,Core Products,Core Basic,Core Basic Type 1,54.44,Medium
P0162,Premium Standard Type 1 0162,Industrial Equipment,Premium Products,Premium Standard,Premium Standard Type 1,174.28,Medium
P0163,Core Replacement Type 2 0163,Safety,Core Products,Core Replacement,Core Replacement Type 2,91.19,Medium
P0164,Preventive Kits Type 1 0164,Industrial Equipment,Maintenance Kits,Preventive Kits,Preventive Kits Type 1,153.4,High
P0165,Core Basic Type 2 0165,Consumables,Core Products,Core Basic,Core Basic Type 2,43.39,Medium
P0166,Controllers Type 1 0166,Specialty Materials,Automation Modules,Controllers,Controllers Type 1,406.1,Medium
P0167,Premium Custom Type 1 0167,Services,Premium Products,Premium Custom,Premium Custom Type 1,416.91,Medium
P0168,Extended Support Type 1 0168,Industrial Equipment,Service Contracts,Extended Support,Extended Support Type 1,439.28,High
P0169,Core Advanced Type 1 0169,Maintenance,Core Products,Core Advanced,Core Advanced Type 1,82.67,Low
P0170,Core Basic Type 2 0170,Industrial Equipment,Core Products,Core Basic,Core Basic Type 2,42.54,Medium
P0171,Premium Standard Type 2 0171,Consumables,Premium Products,Premium Standard,Premium Standard Type 2,130.39,Low
P0172,Controllers Type 2 0172,Automation,Automation Modules,Controllers,Controllers Type 2,503.19,High
P0173,Sensors Type 1 0173,Consumables,Automation Modules,Sensors,Sensors Type 1,294.41,Medium
P0174,Extended Support Type 1 0174,Maintenance,Service Contracts,Extended Support,Extended Support Type 1,470.91,Medium
P0175,Sensors Type 2 0175,Maintenance,Automation Modules,Sensors,Sensors Type 2,524.6,Medium
P0176,Core Basic Type 2 0176,Industrial Equipment,Core Products,Core Basic,Core Basic Type 2,40.17,Low
P0177,Core Advanced Type 2 0177,Specialty Materials,Core Products,Core Advanced,Core Advanced Type 2,137.36,Medium
P0178,Extended Support Type 1 0178,Automation,Service Contracts,Extended Support,Extended Support Type 1,652.75,Medium
P0179,Personal Safety Type 1 0179,Specialty Materials,Safety Solutions,Personal Safety,Personal Safety Type 1,57.05,Low
P0180,Core Advanced Type 2 0180,Services,Core Products,Core Advanced,Core Advanced Type 2,102.56,Low
